start,end,title,description,type,level0,level1,level2,lattitude,longitude
1941-10,1945-11,The Manhattan Project,"The top-secret development of the atomic bomb in the United States.",project,Others,Global,Nuclear,35.88,-106.29
1939-11-30,1940-03-12,The Winter War,"Conflict between the Soviet Union and Finland over territory.",campaign,Europe,Eastern Front,Finland,60.16,24.93
1942-03,1942-06,Invasion of Burma,"Japanese forces seize Burma to cut the Allied supply route to China.",invasion,Far East,CBI,Invasion,16.86,96.19
1945-01-27,,Liberation of Auschwitz,"Soviet forces discover and liberate the Nazi death camp in Poland.",event,Europe,Eastern Front,Holocaust,50.03,19.20
1940-09-07,1941-05-11,The Blitz,"Sustained strategic bombing of London and other British cities.",bombing,Europe,Western Front,Air War,51.50,-0.12
1944-08-25,,Liberation of Paris,"Allied and Free French forces reclaim the capital of France.",event,Europe,Western Front,Liberation,48.85,2.35
1944-09-17,1944-09-25,Operation Market Garden,"Failed Allied paratrooper operation to capture bridges in the Netherlands.",battle,Europe,Western Front,Offensive,51.98,5.91
1941-12-08,1942-04-09,Battle of Bataan,"The defense and subsequent fall of the Bataan Peninsula, Philippines.",battle,Far East,Pacific,Defense,14.58,120.45
1942-04-09,1942-04-14,Bataan Death March,"Forced march of US and Filipino POWs after the surrender of Bataan.",event,Far East,Pacific,Atrocity,14.58,120.45
1940-06-10,,Italy Declares War,"Mussolini declares war on Britain and France, joining the Axis.",declaration,Others,Mediterranean,Diplomacy,41.90,12.49
1943-09-03,,Italian Armistice,"The Kingdom of Italy signs a secret armistice with Allied powers.",surrender,Others,Mediterranean,Diplomacy,37.07,15.28
1941-06-08,1941-07-14,Syria-Lebanon Campaign,"Allied invasion to prevent Vichy French territory from being used by Axis.",campaign,Others,Middle East,Invasion,33.51,36.29
1941-05-20,1941-06-01,Battle of Crete,"The first primarily airborne invasion in history, by German paratroopers.",battle,Europe,Mediterranean,Invasion,35.33,25.14
1945-08-15,,V-J Day,"Japan announces surrender, effectively ending World War II hostilities.",surrender,Far East,Pacific,Victory,35.68,139.76
