start,end,title,description,type,level0,level1,level2,latitude,longitude
2025-12-01,2025-12-01,ICS2 Systeemovergang,"Verplichte overgang naar het nieuwe ICS2-systeem voor logistieke import-aangiften. ",milestone,Hercules,Compliance,Douane,,
2025-12-20,2025-12-20,UAT-go HR 2.1,"Deadline voor de User Acceptance Test van het nieuwe recruitmentprogramma. ",milestone,HR2.1,Testing,UAT,,
2025-12-20,2025-12-20,Opening Site Dronten,"Harde deadline voor de opening van de nieuwe logistieke locatie in Dronten. ",milestone,Organisatie,Logistiek,Locatie,52.5252,5.7273
2025-12,2027-04,Optimalisatie & Stabilisatie,"Nieuwe fase van Hercules om issues met datakwaliteit en integratie op te lossen. ",phase,Hercules,Projectvoortgang,Optimalisatie,,
2026-01-01,2026-01-01,Compliance Deadline,"Harde deadline voor Cybersecuritywetgeving en DORA-normen. ",milestone,Organisatie,IT,Security,,
2026-01-15,2026-01-15,Jaarlijkse Evaluaties,"Deadline voor het afronden van alle eindejaarsgesprekken door leidinggevenden. ",event,Organisatie,HR,Admin,,
2026-01-31,2026-01-31,Concept ESG-jaarverslag,"Oplevering van het concept duurzaamheidsverslag met data uit HR en Hercules. ",milestone,Groener-Groenst,ESG,Rapportage,,
2026-02-01,2026-02-01,Go/No-Go Nationale Pilot,"Beslismoment voor de landelijke uitrol van het HR 2.1 programma. ",milestone,HR2.1,Projectvoortgang,Pilot,,
2026-02,2026-10,Tijdelijk Beheer Hermes,"Inhuur van PHP ontwikkelaars om applicatiebeheer over te nemen tijdens afwezigheid Joop. ",event,Hercules,Capaciteit,Beheer,,
2026-03,2026-03,CSRD Rapportage,"Gereedstellen van de eerste officiële CSRD-duurzaamheidsverslaglegging. ",milestone,Groener-Groenst,ESG,Compliance,,
2026-03,2026-03,API Lancering Leveranciers,"Data-integratie met leveranciers Rossen en Ziaverden via het API-portaal. ",project,Organisatie,IT,Integratie,,
2026-03-24,2026-03-24,Publicatie Jaarverslag,"Officiële publicatiedatum van het Borealis jaarverslag. ",milestone,Organisatie,Finance,Rapportage,,
2026-04-01,2026-04-01,Vertrek Joop de Vries,"Pensioendatum en start sabbatical van zes maanden voor de Hermes-specialist. ",event,Hercules,Capaciteit,Kennisgat,,
2026-05,2026-05,Windows 11 Migratie Gereed,"Voltooiing van de organisatiebrede upgrade naar Windows 11. ",milestone,Organisatie,IT,Werkplek,,
2026-05-13,2026-05-13,Verbindingsdag,"Gezamenlijke brainstorm- en presentatiedag voor alle programma-teams. ",event,Organisatie,Cultuur,Synergie,,
2026-06-30,2026-06-30,Handover HR 2.1,"Geplande overdracht van het recruitmentprogramma naar de staande organisatie. ",milestone,HR2.1,Projectvoortgang,Overdracht,,
2026-07,2026-07,Evaluatie Groener-Groenst,"Brede evaluatie van het duurzaamheidsprogramma met alle stakeholders. ",event,Groener-Groenst,ESG,Evaluatie,,
2026-08,2026-09,Uitrol Verbeter-pack,"Ontwikkeling en implementatie van verbeteringen naar aanleiding van ESG-evaluatie. ",project,Groener-Groenst,ESG,Optimalisatie,,
2026-10-08,2026-10-12,ISO-Audits,"Audit voor ISO-27001 (Security) en ISO-42001 (AI) certificeringen. ",test,Organisatie,IT,Audit,,
2026-11-01,2026-11-01,Decharge HR 2.1,"Formele afsluiting en decharge van het HR 2.1 projectteam. ",milestone,HR2.1,Projectvoortgang,Afsluiting,,
2026-11,2026-11,Cloud Workload EU,"Doelstelling om de eerste workload bij een Europese cloud-aanbieder te draaien. ",milestone,Organisatie,IT,Cloud,,
2026-11-20,2026-11-20,50-jarig Jubileum,"Groot bedrijfsfeest ter ere van het 50-jarig bestaan van Borealis BV. ",event,Organisatie,Cultuur,Feest,,
2027-01,2027-01,Go-live Duitsland,"Uitrol van de nieuwe HR-omgeving naar de Duitse organisatie. ",milestone,HR2.1,Rollout,Duitsland,,
2027-04,2027-04,Go-live Iberia,"Uitrol van de nieuwe HR-omgeving naar de Iberische regio. ",milestone,HR2.1,Rollout,Iberia,,
2027-04,2027-04,Einddatum Hercules,"Definitieve afronding van het Hercules programma na de verlengde looptijd. ",milestone,Hercules,Projectvoortgang,Finish,,
